id,value,condition_id,reactor_parameter_id
318,13.41,137,17
319,62.9,138,1
320,0.976,138,10
321,32.44,139,1
322,0.829,139,10
323,22.7,140,1
324,1.448,140,10
325,347.0,140,12
326,17.65,140,16
327,11.95,140,17
328,48.3,141,1
329,0.833,141,10
330,9.79,142,1
331,11.97,142,2
332,1.15,142,10
333,66.0,143,1
334,0.84,143,10
335,101.3,144,1
336,1.0,144,10
337,387.8,144,12
338,15.78,144,16
339,2.94,144,17
340,80.0,145,1
341,40.4,146,1
342,0.9,146,10
343,322.0,146,12
344,8.0,146,16
345,15.22,146,17
346,38.22,147,1
347,1.089,147,10
348,47.0,148,1
349,0.928,148,10
350,16.9,149,1
351,1.8,149,10
352,55.12,150,1
353,1.018,150,10
356,57.12,152,1
357,1.018,152,10
358,14.4,153,1
359,1.667,153,10
360,47.4,154,1
361,0.893,154,10
362,105.33,155,1
363,1.0,155,10
364,24.9,156,1
365,0.5,156,2
366,1.1,156,10
367,426.67,156,12
368,24.9,157,1
369,0.5,157,2
370,1.1,157,10
371,426.67,157,12
372,79.98,158,1
373,1.012,158,10
374,27.9,159,1
375,1.22,159,10
376,379.0,159,12
377,1100.0,160,1
378,1100.0,161,1
379,0.966,161,10
380,100.0,162,1
381,100.0,162,7
382,100.0,163,1
383,100.0,163,7
384,200.0,164,1
385,20.0,165,1
386,80.0,165,2
387,200.0,166,1
388,1.2,166,10
389,20.0,167,1
390,80.0,167,2
391,1.2,167,10
392,100.0,168,7
393,51.6,169,1
394,0.975,169,10
395,426.7,168,12
396,80.0,170,1
397,0.997,170,10
398,70.0,171,1
399,1.013,171,10
400,74.3,172,1
401,0.662,172,10
402,50.0,173,1
403,30.0,173,7
404,1.056,173,10
405,39.6,174,1
406,1.144,174,10
407,89.9,175,1
408,0.956,175,10
409,38.7,176,1
410,0.827,176,10
411,30.05,177,1
412,1.2,177,10
413,13.7,178,1
414,1.206,178,10
415,31.24,179,1
416,1.07,179,10
417,30.98,180,1
418,1.216,180,10
419,58.7,181,1
420,0.985,181,10
421,25.0,182,1
422,1.124,182,10
423,11.3,183,1
424,1.22,183,10
425,22.8,184,1
426,22.82,184,7
427,1.37,184,8
428,1.37,184,9
429,21.1,185,1
430,21.1,185,7
431,10.0,185,8
432,10.0,185,9
433,1.1,185,10
434,1.1,184,10
435,18.3,186,1
436,1.47,186,10
437,11.2,187,1
438,1.467,187,10
439,37.67,188,1
440,1.051,188,10
441,201.9,189,1
442,0.935,189,10
443,27.0,190,1
444,1.157,190,10
445,47.1,191,1
446,1.022,191,10
447,277.0,192,1
448,2755.0,192,6
449,1.0,192,10
450,277.0,193,1
451,2755.0,193,6
452,47.79,194,1
453,1.019,194,10
454,30.05,195,1
455,12.0,195,7
456,1.06,195,10
457,220.0,196,1
458,0.754,196,10
459,37.2,197,1
460,1.001,197,10
461,250.0,198,1
462,17.0,198,5
463,1751.0,198,6
464,1.0,198,10
465,250.0,199,1
466,17.0,199,5
467,1751.0,199,6
469,250.0,200,1
470,17.0,200,5
471,1751.0,200,6
472,1.0,200,10
473,250.0,201,1
474,17.0,201,5
475,1751.0,201,6
476,250.0,202,1
477,17.0,202,5
478,1751.0,202,6
479,372.3,203,1
480,14.5,203,5
481,1450.0,203,6
482,1.0,203,10
483,342.9,204,1
484,14.5,204,5
485,1450.0,204,6
486,375.0,205,1
487,21.0,205,5
488,2031.0,205,6
489,1.0,205,10
490,275.0,206,1
491,21.0,206,5
492,2031.0,206,6
493,78.92,207,1
494,41.5,207,7
495,10.4,207,8
496,10.4,207,9
497,0.916,207,10
498,12.46,208,1
499,20.8,208,7
500,2.1,208,8
