id,value,parameter_id,location_id,run_id
129,5.649247095549135,13,5,11
130,444.3244,12,1,11
131,445.4188,12,5,11
132,14.58852,17,1,11
133,10.978625399999999,16,1,11
134,27.536528578834144,1,1,11
135,40.86857315276729,13,1,11
136,98.69932549884484,7,1,11
137,129.4999148440469,14,1,11
138,-0.7498528673584421,15,1,11
139,14.54192,17,5,11
140,10.770895399999999,16,5,11
141,1.1713871417689874,1,5,11
142,97.37491670402797,7,5,11
143,142.60930317572635,14,5,11
144,-0.8023505370914594,15,5,11
145,5.6189127220916415,13,5,12
146,444.6487,12,1,12
147,445.8159,12,5,12
148,14.40915,17,1,12
149,11.2803154,16,1,12
150,27.550578395541322,1,1,12
151,41.23143106845535,13,1,12
152,98.83029530066656,7,1,12
153,116.64638435831408,14,1,12
154,-0.8248306261449445,15,1,12
155,14.39364,17,5,12
156,11.3175654,16,5,12
157,1.4041160051778732,1,5,12
158,98.9805215383656,7,5,12
159,125.32358273799578,14,5,12
160,-0.9809404804048985,15,5,12
161,6.646972586284678,13,5,13
162,365.6283,12,1,13
163,366.315,12,5,13
164,3.046296,17,1,13
165,16.981515917,16,1,13
166,39.198008828329904,1,1,13
167,38.818881524962954,13,1,13
168,0.4787252313625217,14,1,13
169,0.3095779124839841,15,1,13
170,2.841329,17,5,13
171,17.733525916999998,16,5,13
172,5.893362726483827,1,5,13
173,5.470823418856162,14,5,13
174,-0.4679439398504019,15,5,13
175,6.732232592086503,13,5,14
176,365.4696,12,1,14
177,366.3262,12,5,14
178,3.007042,17,1,14
179,17.586715917,16,1,14
180,39.15611794756343,1,1,14
181,38.65475976896704,13,1,14
182,0.4370088317767833,14,1,14
183,0.14918616624496542,15,1,14
184,2.992629,17,5,14
185,18.060525917,16,5,14
186,5.707502729713365,1,5,14
187,5.5041145680671395,14,5,14
188,-0.37744610087040553,15,5,14
189,20.15657936613129,13,5,15
190,376.3539,12,1,15
191,377.9309,12,5,15
192,9.91366,17,1,15
193,16.214787873000002,16,1,15
194,25.64506739856523,1,1,15
195,40.82863232374186,13,1,15
196,80.43027148973923,14,1,15
197,0.7871063678878978,15,1,15
198,10.02469,17,5,15
199,17.638077873,16,5,15
200,5.33267802228741,1,5,15
201,0.06493381725299471,7,5,15
202,77.11017657415775,14,5,15
203,0.4966883535928239,15,5,15
204,20.286530227318014,13,5,16
205,378.459,12,1,16
206,376.9852,12,5,16
207,10.25769,17,1,16
208,14.587827872999998,16,1,16
209,25.67388648938018,1,1,16
210,39.77799106956552,13,1,16
211,0.034909450558949603,7,1,16
212,43.77022929051823,14,1,16
213,0.23292956383802,15,1,16
214,10.1608,17,5,16
215,16.643427873,16,5,16
216,5.3117864698826995,1,5,16
217,0.025916311634175987,7,5,16
218,67.10188789527069,14,5,16
219,0.6607971416588335,15,5,16
220,4.274908033904946,13,5,17
221,460.5769,12,1,17
222,458.9705,12,5,17
223,15.82301,17,1,17
224,5.68872527,16,1,17
225,29.1754487454164,1,1,17
226,0.2517672576049593,2,1,17
227,47.1067796795116,13,1,17
228,151.233845325844,14,1,17
229,-0.14817539090641446,15,1,17
230,15.64504,17,5,17
231,5.79141427,16,5,17
232,1.017096279044205,1,5,17
233,0.1385992677718547,2,5,17
234,145.36962452923132,14,5,17
235,-1.1535240568354512,15,5,17
236,4.209120839878466,13,5,18
237,459.4786,12,1,18
238,460.1544,12,5,18
239,15.78809,17,1,18
240,5.79718027,16,1,18
